"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2016/07/28,"{CrSale} 2157  ",49650," "," ",52128
2016/08/02,"Cr CASH  "," ",5000," ",52122
2016/08/02,"{CrSalRtn} 3279  "," ",39000," ",52132
2016/12/06,"{CrSale} 2582  ",3600," "," ",55458
2016/12/09,"{CrSale} 2588  ",4775," "," ",55627
2016/12/14,"{CrSalRtn} 4904  "," ",4775," ",55577
2016/12/20,"{CrSale} 2636  ",2750," "," ",55979
2016/12/22,"{CrSale} 2638  ",20095," "," ",55972
2017/01/02,"{CrSale} 2664  ",29020," "," ",56133
2017/01/04,"{CrSale} 2666  ",6175," "," ",56125
2017/01/10,"Cr CASJ  "," ",10000," ",56281
2017/01/10,"{CrSale} 2667  ",32510," "," ",56777
2017/01/10,"{CrSalRtn} 4911  "," ",2750," ",56796
2017/01/21,"{CrSale} 2684  ",17195," "," ",56729
2017/02/01,"Cr CASH  "," ",5000," ",56868
2017/02/01,"{CrSalRtn} 4919  "," ",49475," ",57116
2017/03/02,"{CrSalRtn} 4923  "," ",10425," ",57736
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",32605," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1206 ","A/C Name : AYESHA SISTER,     KANDY   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
