"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/10/30,"{CrSale} 3226 22PS ",41225," "," ",19481
2013/10/30,"{CrSale} 3227 1PS ",765," "," ",19484
2013/11/16,"{CrSale} 3246 1PS ",2075," "," ",20108
2013/11/20,"{CrSalRtn} 3404 20ps "," ",36455," ",20227
2013/12/24,"Cr CASH  "," ",5500," ",21362
2014/02/26,"{CrSale} 3899  ",1850," "," ",23105
2014/03/10,"{CrSale} 3805  ",11565," "," ",24027
2014/03/12,"{CrSalRtn} 4001 1ps "," ",1850," ",23862
2014/03/15,"{CrSalRtn} 4008 1ps "," ",5865," ",23839
2014/03/25,"{CrSale} 4096 7ps ",7715," "," ",24312
2014/03/31,"{CrSale} 4122 27PS ",15145," "," ",25052
2014/03/31,"{CrSale} 4121 83PS ",126745," "," ",25055
2014/04/01,"{CrSalRtn} 4037 7ps "," ",7715," ",25100
2014/05/21,"Dr CASH  "," ",10000," ",26273
2014/05/21,"{CrSale} 4301 3PS ",2895," "," ",26373
2014/05/21,"{CrSalRtn} 4575 56ps "," ",88235," ",26413
2014/06/22,"Cr CASH  "," ",10000," ",27161
2014/06/26,"{CrSale} 4351 21PS ",59950," "," ",27300
2014/06/26,"{CrSalRtn} 4707 18PS "," ",14260," ",27303
2014/07/18,"{CrSale} 4539 17PS ",24165," "," ",28151
2014/07/19,"Cr CASH  "," ",15000," ",29493
2014/09/24,"{CHQ} BILL "," ",15000,"Bank ",30140
2014/09/24,"Cr CSAH  "," ",30000," ",30149
2014/09/24,"{CrSalRtn} 4806  "," ",9750," ",30844
2014/09/25,"{CrSale} 4855 25PS ",81820," "," ",30307
2014/09/25,"{CrSale} 4854 53PS ",49185," "," ",30310
2014/10/14,"Cr CASH  "," ",15000," ",31118
2014/10/14,"{CrSale} N174 2PS ",1910," "," ",31987
2014/10/15,"{CrSalRtn} 4810 24ps "," ",77140," ",32759
2014/12/01,"Cr CASH  "," ",17000," ",33044
2014/12/02,"Cr CASH  "," ",3000," ",33079
2014/12/02,"{CrSalRtn} 4832 21ps "," ",17215," ",33528
2014/12/12,"{CrSalRtn} 4840 5ps "," ",6775," ",33502
2014/12/16,"Cr DIS  "," ",2500," ",33780
2014/12/16,"Cr CASH  "," ",5000," ",33782
2014/12/16,"{CrSale} N462 17PS ",72050," "," ",33950
2014/12/20,"{CrSalRtn} 4849 6PS "," ",42550," ",36630
2014/12/24,"{CrSalRtn} 2452 9ps "," ",24500," ",34525
2015/03/14,"Cr CASH  "," ",15000," ",36797
2015/03/24,"{CrSale} N680 8PS ",10600," "," ",37448
2015/05/19,"Cr CASH  "," ",10000," ",38638
2015/05/19,"{CrSale} 804 8ps ",14910," "," ",38728
2015/06/12,"{CrSale} 963 24PS ",79900," "," ",39624
2015/06/13,"{CrSalRtn} 2426 8ps "," ",13710," ",39675
2015/06/24,"{CrSale} 934 3ps ",13500," "," ",40057
2015/06/27,"{CrSale} 940 13ps ",54550," "," ",40033
2015/06/29,"{CrSale} 947 3ps ",12500," "," ",40012
2015/06/29,"Cr CASH  "," ",12000," ",40197
2015/07/09,"Cr CASH  "," ",1000," ",40664
2015/07/15,"Cr CASH  "," ",10000," ",41106
2015/08/01,"Cr CASH  "," ",10000," ",41225
2015/08/15,"{CrSalRtn} 2360 28PS "," ",100850," ",41532
2015/09/07,"Cr CASH  "," ",5000," ",42340
2015/09/07,"{CHQ} BILL "," ",12000,"Bank ",42349
2015/09/08,"{CrSale} 1122 9ps ",30625," "," ",42389
2015/10/14,"Cr CASH  "," ",15000," ",43143
2015/11/06,"{CrSale} 1431  ",40700," "," ",44411
2015/11/06,"{CrSalRtn} 2385  "," ",19500," ",44446
2015/11/06,"Cr CASH  "," ",15000," ",44541
2015/11/19,"Cr CASH AS ZAKKATH  "," ",10000," ",44672
2015/12/04,"Cr CASH  "," ",15000," ",45071
2015/12/04,"{CrSalRtn} 2392  "," ",31185," ",46065
2015/12/30,"{CrSale} 1581  ",4500," "," ",45961
2015/12/30,"{CrSalRtn} 4953  "," ",4500," ",45986
2016/01/12,"Cr CASH  "," ",5000," ",46429
2016/01/12,"{CrSale} 1594  ",53085," "," ",46718
2016/01/14,"Cr CASH  "," ",5000," ",46455
2016/01/14,"{CrSale} 1604  ",36325," "," ",46788
2016/01/18,"{CrSale} 1613  ",26850," "," ",46760
2016/01/18,"{CrSalRtn} 4959  "," ",27695," ",46926
2016/01/22,"Cr CASH  "," ",10000," ",46641
2016/01/22,"{CrSale} 1617  ",45275," "," ",46745
2016/01/25,"{CrSalRtn} 4964  "," ",11725," ",46906
2016/02/06,"Cr CASH  "," ",10000," ",47080
2016/02/06,"{CrSalRtn} 4970  "," ",33975," ",48682
2016/03/15,"Cr CASH  "," ",15000," ",47904
2016/03/15,"{CrSalRtn} 4978  "," ",17045," ",48658
2016/03/26,"Cr CASH  "," ",20000," ",48315
2016/03/29,"{CrSale} 1826  ",24320," "," ",48765
2016/04/07,"Cr CASH  "," ",10000," ",48910
2016/04/28,"{CrSalRtn} 4990  "," ",23995," ",49015
2016/04/29,"Cr CASH  "," ",15000," ",49443
2016/06/07,"{CrSale} 1998  ",79225," "," ",50631
2016/06/16,"{CrSale} 2087  ",5375," "," ",50990
2016/06/16,"{CrSale} 2086  ",74910," "," ",50993
2016/06/21,"{CrSalRtn} 3263  "," ",28995," ",51275
2016/06/21,"{CrSale} 2109  ",20215," "," ",51527
2016/06/21,"{CrSalRtn} 2107  "," ",5475," ",52319
2016/07/01,"Cr CASH  "," ",10000," ",51700
2016/07/15,"Cr CASH  "," ",25000," ",51802
2016/07/18,"{CrSalRtn} 3273  "," ",99205," ",51987
