"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2016/03/17,"{CrSale} 1786  ",26280," "," ",48364
2016/05/20,"{CHQ} BILL "," ",26280,"Bank ",49922
2016/06/16,"{CrSale} 2091  ",125000," "," ",50978
2016/06/16,"{CrSale} 2090  ",165670," "," ",50981
2016/06/16,"{CrSale} 2089  ",149880," "," ",50984
2016/06/16,"{CrSale} 2085  ",136195," "," ",50996
2016/06/16,"{CrSale} 2084  ",171160," "," ",50999
2016/08/05,"{CrSalRtn} 3280  "," ",259350," ",52564
2016/09/21,"{CHQ} BILL "," ",100000,"Rtn ",53449
2016/09/21,"{CHQ} BILL "," ",100000,"Rtn ",53450
2016/09/21,"{CHQ} BILL "," ",100000,"Rtn ",53451
2016/09/21,"{CHQ} BILL "," ",105465,"Rtn ",53452
2016/09/21,"{CHQ} BILL "," ",100000,"Rtn ",53453
2016/09/24,"Dr FROM TOPUP  ",16910," "," ",53560
2017/01/04,"{CHQ RETURN} Chq No.962293, Chq Date: 31-Dec-16 ",100000," "," ",56200
2017/01/11,"{CHQ} RC "," ",100000,"Bank ",56403
2017/01/11,"{CHQ} RC "," ",100000,"Bank ",56404
2017/01/11,"{CHQ} RC "," ",100000,"Bank ",56405
2017/01/11,"{CHQ} RC "," ",100000,"Bank ",56406
2017/01/11,"{CHQ} RC "," ",105465,"Hand ",56407
2017/02/01,"{CHQ RETURN} Chq No.962294, Chq Date: 30-Jan-16 ",100000," "," ",56855
2017/02/06,"{CHQ RETURN} Chq No.962291, Chq Date: 30-Nov-16 ",100000," "," ",57092
2017/02/06,"{CHQ RETURN} Chq No.962295, Chq Date: 10-Mar-17 ",105465," "," ",57093
2017/02/06,"{CHQ RETURN} Chq No.962296, Chq Date: 28-Feb-17 ",100000," "," ",57094
2017/03/09,"{CrSale} 2701  ",27080," "," ",57864
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",27080," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1285 ","A/C Name : AJMEER MADAWACHI,     MADAWACHI   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
