"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/10/01,"{CrSale} 3100 71PS ",135665," "," ",18453
2013/10/01,"{CrSale} 3099 38PS ",77310," "," ",18457
2013/10/01,"{CrSale} 3098 58PS ",95530," "," ",18460
2013/10/01,"{CrSale} 3097 85PS ",124455," "," ",18463
2013/10/01,"{CrSale} 3096 29PS ",40385," "," ",18466
2013/10/01,"{CrSale} 3095 39PS ",126645," "," ",18469
2013/10/01,"{CrSale} 3094 45PS ",131415," "," ",18472
2013/10/01,"{CrSale} 3093 53PS ",132435," "," ",18475
2013/10/01,"{CrSale} 3092 54PS ",192970," "," ",18478
2013/10/01,"{CrSale} 3091 73PS ",138595," "," ",18481
2013/10/01,"{CrSale} 3251 56PS ",213480," "," ",18551
2013/10/01,"{CrSale} 3252 59PS ",227285," "," ",18554
2013/10/01,"{CrSale} 3253 59PS ",223275," "," ",18557
2013/10/01,"{CrSale} 3254 111PS ",133585," "," ",18560
2013/10/01,"{CrSale} 3255 91PS ",128665," "," ",18563
2013/10/01,"{CrSale} 3256 128PS ",145630," "," ",18566
2013/10/01,"{CrSale} 3257 103PS ",122505," "," ",18569
2013/10/01,"{CrSale} 3258 198PS ",142010," "," ",18572
2013/10/01,"{CrSale} 3259 102PS ",69300," "," ",18575
2013/10/01,"{CrSale} 3260 101PS ",40400," "," ",18578
2013/10/01,"{CrSale} 3261 124PS ",90550," "," ",18581
2013/10/01,"{CrSale} 3262 87PS ",151755," "," ",18584
2013/10/01,"{CrSale} 3263 40PS ",188210," "," ",18587
2013/10/01,"{CrSale} 3264 52PS ",112540," "," ",18590
2013/10/01,"{CrSale} 3265 248PS ",158100," "," ",18593
2013/10/01,"{CrSale} 3266 28PS ",69120," "," ",18596
2013/10/01,"{CrSale} 3267 31PS ",95065," "," ",18599
2013/10/01,"{CrSale} 3268 22PS ",56690," "," ",18602
2013/10/01,"{CrSale} 3269 16PS ",46460," "," ",18605
2013/10/01,"{CrSale} 3201 45PS ",77875," "," ",18614
