"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/12/09,"{CrSale} 3603 46PS ",87350," "," ",21008
2013/12/09,"{CrSale} 3609 50PS ",106870," "," ",21011
2013/12/09,"{CrSale} 3610 79PS ",125245," "," ",21014
2014/01/23,"{CrSalRtn} 3442 2ps "," ",3100," ",22340
2014/02/01,"{CHQ} BILL "," ",40000,"Hand ",22568
2014/02/01,"{CHQ} BILL "," ",47350,"Hand ",22569
2014/02/01,"{CHQ} BILL "," ",40000,"Hand ",22570
2014/02/01,"{CHQ} BILL "," ",45245,"Hand ",22571
2014/02/01,"{CHQ} BILL "," ",40000,"Hand ",22572
2014/02/01,"{CHQ} BILL "," ",35000,"Hand ",22573
2014/02/01,"{CHQ} BILL "," ",35000,"Hand ",22574
2014/02/01,"{CHQ} BILL "," ",36870,"Hand ",22575
2014/07/18,"{CrSale} 4756 67ps ",63585," "," ",28450
2014/07/18,"{CrSale} 4755 60ps ",99360," "," ",28453
2014/07/18,"{CrSale} 4753 85ps ",108545," "," ",28459
2014/07/18,"{CrSale} 4752 40ps ",76240," "," ",28462
2014/07/23,"{CrSalRtn} 4735 18ps "," ",37230," ",28626
2014/09/11,"{CHQ} BILL "," ",30000,"Bank ",29283
2014/09/11,"{CHQ} BILL "," ",30000,"Hand ",29284
2014/09/11,"{CHQ} BILL "," ",33400,"Hand ",29285
2014/09/11,"{CHQ} BILL "," ",40000,"Bank ",29286
2014/09/11,"{CHQ} BILL "," ",49850,"Bank ",29287
2014/09/11,"{CHQ} BILL "," ",33585,"Hand ",29288
2014/09/11,"{CHQ} BILL "," ",45000,"Bank ",29289
2014/09/11,"{CHQ} BILL "," ",48635,"Hand ",29290
2015/05/18,"Dr SUS  ",3070," "," ",38745
2015/06/29,"{CrSale} 950 55ps ",108455," "," ",40002
2015/06/29,"{CrSale} 949 99ps ",191125," "," ",40006
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41918
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41919
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41920
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41921
2015/08/24,"{CHQ} BILL "," ",30000,"Bank ",41922
2015/08/24,"{CHQ} BILL "," ",21125,"Bank ",41923
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41924
2015/08/24,"{CHQ} BILL "," ",35000,"Bank ",41925
2015/08/24,"{CHQ} BILL "," ",38455,"Bank ",41926
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1208 ","A/C Name : APSARA FASHION HATTON,     HATTON   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
