"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",1579010," "," ",1951
2012/07/20,"Cr CASH  "," ",100000," ",945
2012/07/21,"{CrSale}   ",547895," "," ",984
2012/07/26,"Cr CASH  "," ",100000," ",1186
2012/08/02,"{CrSale}   ",134555," "," ",1563
2012/08/02,"{CrSale}   ",222410," "," ",1566
2012/08/02,"{CrSale}   ",184400," "," ",1569
2012/08/02,"{CrSale}   ",167815," "," ",1590
2012/08/03,"Cr CHQ  "," ",1000000," ",1722
2012/08/29,"{CrSalRtn} 1272 71 "," ",378140," ",1793
2012/08/29,"{CrSale} 1273 41 ",273935," "," ",1796
2012/09/07,"{CrSalRtn} 1283 29PS "," ",130425," ",1895
2012/09/13,"{CrSale} 1231 44PS ",90740," "," ",2070
2012/09/13,"{CrSale} 1174 74PS ",104550," "," ",2078
2012/09/13,"{CrSale} 1175 60PS ",246440," "," ",2081
2012/09/13,"{CrSale} 1176 63PS ",61395," "," ",2084
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10443
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10444
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10445
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10446
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10447
2012/09/22,"{CHQ} BILL "," ",200000,"Hand ",10448
2012/10/02,"{CrSale} 1451 42PS ",151550," "," ",2788
2012/10/02,"{CrSale} 1452 26PS ",47840," "," ",2792
2012/10/02,"{CrSale} 1453 128PS ",119550," "," ",2795
2012/10/19,"{CrSale} 1808 50ps ",250760," "," ",3711
2012/10/19,"{CrSale} 1809 38ps ",71930," "," ",3715
2012/10/19,"{CrSale} 1813 33ps ",97845," "," ",3727
2012/10/19,"{CrSale} 1814 20ps ",102040," "," ",3730
2012/10/19,"{CrSale} 1815 11ps ",96955," "," ",3733
2012/10/19,"{CrSalRtn} 1816 3ps "," ",17025," ",3736
2012/10/19,"{CrSale} 1817 70ps ",129010," "," ",3740
2012/10/20,"{CHQ} BILL "," ",200000,"Hand ",3698
2012/10/20,"{CHQ} BILL "," ",200000,"Hand ",3699
2012/10/20,"{CHQ} BILL "," ",200000,"Hand ",3700
2012/11/03,"{CrSale} 1982 53ps ",250785," "," ",4452
2012/11/03,"{CrSale} 1983 54ps ",217090," "," ",4455
2012/11/03,"{CrSale} 1985 65ps ",229085," "," ",4461
2012/11/03,"{CrSale} 1986 84ps ",126600," "," ",4464
2012/11/03,"{CrSale} 1987 39ps ",105655," "," ",4467
2012/11/03,"{CrSale} 1988 50ps ",203510," "," ",4470
2012/11/03,"{CrSale} 1989 68ps ",265960," "," ",4473
2012/11/03,"{CrSale} 1990 49ps ",270325," "," ",4476
2012/11/03,"{CrSale} 1991 79ps ",220275," "," ",4479
2012/11/07,"{CrSalRtn} 1675 TOTAL RTN "," ",1889285," ",4961
2012/11/07,"{CrSale} 1676 68PS ",268120," "," ",4965
2012/11/07,"{CrSale} 1677 58PS ",283040," "," ",4968
2012/11/24,"{CHQ} BILL "," ",100000,"Hand ",5671
2012/11/24,"{CHQ} BILL "," ",100000,"Hand ",5672
2012/11/24,"{CHQ} BILL "," ",200000,"Hand ",5673
2012/11/24,"{CHQ} BILL "," ",200000,"Hand ",5674
2012/11/24,"{CHQ} BILL "," ",200000,"Hand ",5675
2012/11/24,"{CHQ} BILL "," ",200000,"Hand ",5676
2012/11/30,"{CrSale} 1792  ",56350," "," ",6283
2012/11/30,"{CrSale} 1793  ",75950," "," ",6286
2012/12/21,"{CrSale} 1721 60PS ",297540," "," ",7812
2012/12/21,"{CrSale} 1722 97PS ",279835," "," ",7815
2012/12/22,"{CrSale} 1441 110ps ",180190," "," ",7855
2012/12/22,"{CrSale} 1442 84ps ",167920," "," ",7858
2012/12/22,"{CrSale} 1443 51ps ",124605," "," ",7861
2012/12/22,"{CrSale} 1444 18ps ",32910," "," ",7864
2013/01/09,"{CrSalRtn} 2061 83PS "," ",260115," ",8682
2013/01/16,"{CHQ} BILL "," ",250000,"Hand ",8875
2013/01/16,"{CHQ} BILL "," ",250000,"Hand ",8876
2013/01/16,"{CHQ} BILL "," ",250000,"Hand ",8877
2013/01/16,"{CHQ} BILL "," ",250000,"Hand ",8878
2013/01/16,"{CrSale} 2066 55PS ",190795," "," ",8906
2013/01/16,"{CrSale} 2067 121PS ",304895," "," ",8909
2013/02/28,"Dr K/M CASH  ",100000," "," ",10168
2013/03/13,"Dr R/C - 123621  ",200000," "," ",10720
2013/03/13,"Cr CASH FOR R/C  "," ",100000," ",10732
2013/03/27,"{CrSale} 2407 58PS ",239590," "," ",11618
2013/03/27,"{CrSale} 2408 59PS ",223095," "," ",11621
2013/03/27,"{CrSale} 2409 89PS ",148345," "," ",11624
2013/03/27,"{CrSale} 2410 30PS ",73770," "," ",11627
2013/03/27,"{CrSale} 2295 42PS ",82170," "," ",11636
2013/03/27,"{CrSale} 2296 39PS ",86625," "," ",11639
2013/03/27,"{CrSale} 2297 58PS ",212990," "," ",11642
2013/03/27,"{CrSale} 2298 38PS ",141070," "," ",11645
2013/03/27,"{CrSale} 2299 63PS ",144045," "," ",11648
