"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2013/04/04,"Cr ACSH FOR R/C  "," ",50000," ",12253
2013/04/16,"Cr CASH FOR R/C  "," ",150000," ",12661
2013/04/30,"Dr R/C - 140646  ",250000," "," ",13051
2013/05/03,"{CrSalRtn} 2609 28ps "," ",91170," ",13211
2013/05/17,"CR CASH FOR RC  "," ",50000," ",13733
2013/05/20,"Cr CASH  "," ",100000," ",13873
2013/05/22,"Cr CASH FOR R/C  "," ",50000," ",13912
2013/05/22,"Cr CASH FOR R/C  "," ",50000," ",13925
2013/05/27,"Dr R/C - 140648  ",250000," "," ",13968
2013/06/04,"Cr CASH FOR R/C  "," ",50000," ",14166
2013/07/20,"Cr CASH FOR R.C  "," ",50000," ",16007
2013/07/30,"Cr CASH FOR R.C  "," ",32000," ",16709
2013/07/31,"Cr CASH FOR R.C  "," ",25000," ",16906
2013/07/31,"Cr DISCOUNT  "," ",600," ",16907
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16930
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16931
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16932
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16933
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16934
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16935
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16936
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16937
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16938
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16939
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16940
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16941
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16942
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16943
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16944
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16945
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16946
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16947
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16948
2013/07/31,"{CHQ} BILL "," ",120000,"Hand ",16949
2013/09/04,"Cr CASH FOR RC  "," ",50000," ",17824
2013/09/27,"Dr RC - 044685  ",120000," "," ",18402
2013/10/24,"Dr RC - 044690  ",120000," "," ",19045
2013/10/29,"Dr RC - 044689  ",120000," "," ",19390
2013/11/07,"Dr RC - 044684  ",120000," "," ",19793
2013/11/11,"Dr RC - 0449693  ",120000," "," ",19854
2013/11/13,"Dr RC - 044694  ",120000," "," ",20018
2013/11/19,"Dr RC - 044695  ",120000," "," ",20133
2013/11/20,"Cr CASH FOR RC  "," ",10000," ",20174
2013/11/22,"Dr RC - 044696  ",120000," "," ",20275
2013/11/28,"Cr CASH (25-11-13  "," ",10000," ",20483
2013/11/28,"Cr CASH (27-11-13  "," ",10000," ",20484
2013/12/03,"Dr RC - 044698  ",120000," "," ",20792
2013/12/04,"Cr CASH FOR RC  "," ",15000," ",20868
2013/12/09,"DR RC - 044699  ",120000," "," ",21049
2013/12/11,"Dr RC - 044700  ",120000," "," ",21089
2013/12/11,"Cr ACSH  "," ",20000," ",21108
2013/12/30,"Cr CASH  "," ",100000," ",21806
2014/09/11,"Cr CASH  "," ",100000," ",29316
2015/10/11,"Cr BAD DEBT  "," ",1115000," ",48176
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1076 ","A/C Name : BEST INS JAFFNA,     JAFFNA  0759326447 / 0773477006 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
