"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"opening balance  ",1991105," "," ",2030
2012/07/14,"Cr CHEQUE  "," ",1991105," ",666
2012/08/06,"{CrSale}   ",172045," "," ",2504
2012/09/11,"Cr CHQ FOR R/C  "," ",600000," ",2036
2012/09/13,"Dr R/C  ",300000," "," ",2108
2012/09/20,"Dr R/C - 466012  ",300000," "," ",10748
2012/09/24,"Dr R/C  ",300000," "," ",2586
2012/10/08,"Dr R/C  ",300000," "," ",2963
2012/10/08,"{CHQ} R/C "," ",300000,"Hand ",3020
2012/10/08,"{CHQ} R/C "," ",300000,"Hand ",3021
2012/11/08,"{CrSalRtn} 1871 11ps "," ",27715," ",5023
2012/11/19,"Dr R/C (466048  ",250000," "," ",5440
2012/12/28,"Dr R/C 480502  ",300000," "," ",8082
2013/01/03,"Dr R/C 480501  ",300000," "," ",8220
2013/01/04,"Dr R/C - 487822  ",300000," "," ",8256
2013/01/24,"Dr R/C - 480503  ",250000," "," ",9225
2013/02/05,"Dr R/C 480504  ",250000," "," ",9534
2013/02/11,"{CrSalRtn} 1381 122PS "," ",79020," ",9713
2013/02/21,"Dr R/C - 480505  ",191105," "," ",9944
2013/06/29,"{CHQ} R.C  "," ",23000,"Hand ",15141
2013/08/14,"{CHQ} RC (ARUN'S CHQ) "," ",70000,"Hand ",17386
2013/08/14,"{CHQ} RC (ARUN'S CHQ) "," ",70000,"Hand ",17387
2013/08/14,"{CHQ} RC(ARUN'S CHQ) "," ",70000,"Hand ",17388
2013/09/02,"Dr RC - 535696  ",200000," "," ",17764
2014/06/18,"Cr FRM KITSEL  "," ",371110," ",29880
2014/07/27,"{CHQ} BILL "," ",36750,"Hand ",28718
2015/07/08,"Dr SF ANBANS  ",61770," "," ",40643
2015/12/29,"Cr CASH FOR RC  "," ",20000," ",45920
2015/12/29,"Cr DISCOUNT  "," ",227325," ",45922
2015/12/29,"Cr ZAKKATH  "," ",500000," ",45924
2016/03/28,"Cr CASH FOR RC  "," ",20000," ",48532
2016/06/01,"Cr CASH FRO RC  "," ",20000," ",50334
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",740000," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1008 ","A/C Name : KITSEL BATTICALOA (ROYAL FASHION MANNAR), 25, NEW BUS STAND  MANNAR    0773421965 ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
