"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",295355," "," ",2000
2012/07/23,"{CrSale}   ",78200," "," ",1052
2012/08/13,"{CrSale}   ",58680," "," ",6352
2012/08/13,"{CrSale}   ",13350," "," ",6388
2012/09/28,"{CHQ} BILL "," ",100000,"Bank ",2686
2012/09/28,"{CHQ} BILL "," ",100000,"Bank ",2687
2012/09/28,"{CHQ} BILL "," ",100000,"Hand ",2688
2012/09/28,"{CHQ} BILL "," ",56000,"Hand ",2689
2012/10/02,"{CrSalRtn} 1456 34PS "," ",109550," ",2803
2012/11/08,"{CrSale} 1695 61ps ",160795," "," ",5083
2012/11/09,"{CrSale} 1924 42PS ",68890," "," ",5172
2012/11/09,"{CrSale} 1925 18PS ",30870," "," ",5175
2012/11/20,"dR  ",29770," "," ",32831
2012/12/22,"{CrSale} 1445 80ps 4 ps by hand ",69810," "," ",7867
2012/12/22,"{CrSale} 1448 88ps ",124135," "," ",7876
2012/12/22,"{CrSale} 1449 14ps by hand ",16330," "," ",7879
2013/01/17,"{CHQ} BILL "," ",100000,"Hand ",8949
2013/01/17,"{CHQ} BILL "," ",100000,"Hand ",8950
2013/01/17,"{CHQ} BILL "," ",100000,"Hand ",8951
2013/01/17,"{CHQ} BILL "," ",100000,"Hand ",8952
2013/01/17,"{CHQ} BILL "," ",70000,"Hand ",8953
2013/01/29,"{CrSalRtn} 1373 8PS "," ",7600," ",9303
2013/02/06,"{CrSale} 2138 71PS ",232285," "," ",9593
2013/02/06,"{CrSale} 2139 91PS ",105445," "," ",9596
2013/02/06,"{CrSale} 2147 58PS ",95030," "," ",9620
2013/02/06,"{CrSale} 2148 56PS ",91900," "," ",9623
2013/02/27,"{CHQ} BILL "," ",100000,"Hand ",10083
2013/02/27,"{CHQ} BILL "," ",100000,"Hand ",10084
2013/02/27,"{CHQ} BILL "," ",100000,"Hand ",10085
2013/02/27,"{CHQ} BILL "," ",100000,"Hand ",10086
2013/02/27,"{CHQ} BILL "," ",82200,"Hand ",10087
2013/03/30,"{CrSalRtn} 2328 28ps "," ",42380," ",11791
2013/06/04,"{CrSale} 2663 15PS ",26425," "," ",14193
2013/06/04,"{CrSale} 2664 2PS ",7570," "," ",14197
2013/06/10,"{CrSale} 2434 92PS ",100560," "," ",14396
2013/06/10,"{CrSale} 2435 46PS ",39550," "," ",14400
2013/06/10,"{CrSale} 2674 45PS ",74055," "," ",14403
2013/06/10,"{CrSale} 2675 31PS ",48585," "," ",14406
2013/07/24,"{CrSalRtn} 3330 4ps "," ",3100," ",16187
2013/08/14,"{CHQ} BILL "," ",100000,"Hand ",17308
2013/08/14,"{CHQ} BILL "," ",100000,"Hand ",17309
2013/08/14,"{CHQ} BILL "," ",96750,"Hand ",17310
2013/09/28,"{CrSale} 3085 38ps ",32020," "," ",18775
2013/10/29,"{CrSalRtn} 3198 5ps "," ",4625," ",19431
2013/11/19,"{CHQ} BILL "," ",27400,"Hand ",20117
2014/03/15,"{CrSale} 3957 24ps ",13800," "," ",23865
2014/03/15,"{CrSale} 3956 130ps ",125890," "," ",23869
2014/03/15,"{CrSale} 4058 22ps ",50050," "," ",23924
2014/04/30,"Dr BILL MISTAKE  ",1760," "," ",25725
2014/04/30,"{CHQ} BILL "," ",100000,"Hand ",25758
2014/04/30,"{CHQ} BILL "," ",91500,"Hand ",25759
2014/06/26,"{CrSale} 4359 85PS ",69895," "," ",27282
2014/07/17,"{CHQ} BILL "," ",69900,"Bank ",28701
2014/10/12,"{CrSale} N124 144PS ",121715," "," ",31661
2014/12/08,"{CHQ} BILL "," ",121700,"Bank ",33290
2015/03/26,"{CrSale} N716 43PS ",77940," "," ",37299
2015/03/26,"{CrSale} N715 58PS ",97010," "," ",37303
2015/03/26,"{CrSale} N713 97PS ",100510," "," ",37312
2015/03/26,"{CrSale} N712 180PS ",115725," "," ",37315
2015/03/26,"{CrSale} n714 96PS ",100540," "," ",37547
2015/04/25,"{CrSalRtn} 2407 86ps "," ",58985," ",38277
2015/05/05,"{CHQ} BILL "," ",100000,"Bank ",38207
2015/05/14,"{CHQ} BILL "," ",110000,"Bank ",38488
2015/05/14,"{CHQ} BILL "," ",110000,"Bank ",38489
2015/05/14,"{CHQ} BILL "," ",110000,"Bank ",38490
2015/09/12,"{CrSale} 1131 14ps ",37900," "," ",42524
2015/10/08,"Cr CHQ TO TOPUP  "," ",37900," ",43053
2015/10/11,"Cr BAD DEBT  "," ",2750," ",48189
2016/03/03,"{CrSale} 1846  ",51100," "," ",48705
2016/04/28,"{CrSalRtn} 4989  "," ",51100," ",49019
2016/05/11,"Cr DIS  "," ",5," ",49717
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1086 ","A/C Name : ASIAN TEX THIRUNALVELI,   THIRUNALVELI  JAFFNA  0777243461 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
