"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/12/13,"{CrSale} 4581 23PS ",50965," "," ",21564
2013/12/13,"{CrSale} 3580 41PS ",182365," "," ",21567
2013/12/13,"{CrSale} 3579 57PS ",227735," "," ",21570
2013/12/13,"{CrSale} 3578 38PS ",108050," "," ",21573
2013/12/14,"{CrSale} 3639 8ps ",11160," "," ",21428
2013/12/14,"{CrSale} 3638 23ps ",117385," "," ",21432
2013/12/14,"{CrSale} 3587 40ps ",49600," "," ",21546
2013/12/14,"{CrSale} 3586 51ps ",165845," "," ",21549
2013/12/14,"{CrSalRtn} 3416 41ps "," ",103945," ",21641
2013/12/18,"{CrSale} 3650 65ps ",48275," "," ",21392
2013/12/18,"{CrSale} 3646  ",3100," "," ",21405
2013/12/19,"{CrSale} 3754 8PS ",6200," "," ",21339
2014/01/29,"{CrSale} 3872 PRATHAB ",1975," "," ",22491
2014/03/12,"{CHQ} BILL "," ",200000,"Hand ",23628
2014/03/12,"{CHQ} BILL "," ",200000,"Hand ",23629
2014/03/12,"{CHQ} BILL "," ",200000,"Hand ",23630
2014/03/12,"{CHQ} BILL "," ",187950,"Hand ",23631
2014/03/12,"{CrSale} 3740 44PS ",208210," "," ",23712
2014/03/12,"{CrSale} 3833 10ps ",42750," "," ",24094
2014/03/12,"{CrSale} 3822 35ps ",122070," "," ",24097
2014/03/12,"{CrSale} 3831 32ps ",99400," "," ",24100
2014/03/12,"{CrSale} 3830 54ps ",198105," "," ",24103
2014/03/13,"{CrSalRtn} 4007 4ps "," ",13200," ",23842
2014/03/13,"{CrSale} 3839 30ps ",75300," "," ",24076
2014/03/13,"{CrSale} 3838 40ps ",96730," "," ",24079
2014/03/13,"{CrSale} 3837 119ps ",136205," "," ",24082
2014/03/13,"{CrSale} 3836 prathap 3 ps ",5145," "," ",24085
2014/03/13,"{CrSalRtn} 4006 3ps "," ",10725," ",26123
2014/03/14,"{CrSale} 3747 5PS ",14465," "," ",23691
2014/03/14,"{CrSale} 3746 44PS ",136460," "," ",23694
2014/03/14,"{CrSale} 3745 39PS ",117215," "," ",23697
2014/03/14,"{CrSale} 3744 51PS ",128550," "," ",23700
2014/03/14,"{CrSale} 3743 138PS ",178850," "," ",23703
2014/03/14,"{CrSale} 3742 26PS ",94350," "," ",23706
2014/03/14,"{CrSale} 3741 36PS ",171100," "," ",23709
2014/03/18,"{CrSalRtn} 4010 40ps "," ",191190," ",24184
2014/03/23,"{CrSalRtn} 4019 17ps "," ",70485," ",24462
2014/05/06,"{CrSale} 4170 151ps ",90095," "," ",26023
2014/07/03,"{CrSale} 4405 14PS ",81170," "," ",27729
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27795
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27796
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27797
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27798
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27799
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27800
2014/07/04,"{CHQ} BILL "," ",200000,"Hand ",27801
2014/07/04,"{CHQ} BILL "," ",163498,"Hand ",27802
2014/07/04,"Cr DISCOUTED FOR ALL PAYMENT)  "," ",227832," ",29867
2014/09/03,"{CrSale} 4654 175PS ",131695," "," ",28867
2014/09/03,"{CrSale} 4653 124PS ",139500," "," ",32639
2014/09/23,"{CHQ} BILL "," ",118525.5,"Bank ",30104
2014/09/23,"{CHQ} BILL "," ",125550,"Bank ",30105
2014/09/23,"Cr DIS  "," ",27059.5," ",30129
2014/10/15,"{CrSale} N211 40PS ",205450," "," ",31859
2014/10/15,"{CrSale} N210 42PS ",165120," "," ",31862
2014/10/15,"{CrSale} N209 48PS ",204440," "," ",31865
2014/12/30,"{CrSale} 476 98ps ",100900," "," ",34543
2015/02/24,"{CrSalRtn} 2477  "," ",15420," ",36106
2015/02/26,"{CrSale} N583 99PS ",71015," "," ",36144
2015/06/23,"Cr CASH  "," ",658410," ",39917
2016/08/26,"Cr DISCOUNT  "," ",73155," ",53069
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1210 ","A/C Name : KAMALESHWARI MAIN STREET,   MAIN STREET  COLOMBO   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
