"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",2500," "," ",1963
2012/08/08,"{CrSale}   ",59275," "," ",5942
2012/10/09,"{CHQ} BILL "," ",59250,"Hand ",3027
2013/07/09,"{CrSale} 2711 57PS ",131575," "," ",15396
2013/07/25,"{CrSale} 2940 61PS ",204165," "," ",16655
2013/07/25,"{CrSale} 2941 121PS ",174395," "," ",16658
2013/08/15,"{CHQ} BILL "," ",127500,"Hand ",17339
2013/08/15,"{CHQ} BILL "," ",127500,"Hand ",17340
2013/08/15,"{CHQ} BILL "," ",127500,"Hand ",17341
2013/08/15,"{CHQ} BILL "," ",127585,"Hand ",17342
2014/01/24,"Dr RC  425773  ",127500," "," ",22393
2014/02/17,"Dr RC - 420679  ",127585," "," ",22814
2014/03/05,"{CHQ} RC "," ",127500,"Hand ",23292
2014/03/05,"{CHQ} RC "," ",127535,"Hand ",23293
2014/03/05,"Cr CASH  "," ",50," ",23337
2014/09/10,"Cr DIS  "," ",2575," ",30175
2014/12/02,"{CrSale} N290 93PS ",86645," "," ",33344
2015/01/28,"{CHQ} BILL "," ",86600,"Bank ",35465
2015/04/06,"Dr RC - 106090  ",86600," "," ",37668
2015/04/07,"Cr CASH  "," ",40000," ",37718
2015/04/08,"Cr CASH FOR RC  "," ",46600," ",37806
2015/05/21,"Cr  "," ",45," ",38747
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1015 ","A/C Name : ASIAN TEX WELLAWATTE,     WELLAWATTE   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
