"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",75000," "," ",2012
2012/07/20,"{CrSale}   ",25825," "," ",905
2012/07/25,"{CrSale}   ",138085," "," ",1092
2012/07/25,"{CrSale}   ",49530," "," ",1096
2012/08/13,"{CrSale}   ",112380," "," ",6394
2012/08/13,"{CrSale}   ",95760," "," ",6409
2012/08/13,"{CrSale}   ",32705," "," ",6412
2012/08/15,"{CrSale}   ",158755," "," ",6739
2012/08/15,"{CrSale}   ",131455," "," ",6742
2012/09/22,"{Cr CHQ }  "," ",800000," ",10643
2012/10/31,"{CrSale} 1777 62PS ",152450," "," ",4235
2012/12/22,"{CrSale} 1433 45ps ",164155," "," ",7831
2012/12/22,"{CrSale} 1434 7ps by hand ",26505," "," ",7834
2012/12/22,"{CrSale} 1435 63ps, 7ps by hand ",127380," "," ",7837
2013/01/11,"{CrSale} 1357 22PS ",41810," "," ",8772
2013/03/04,"{CrSale} 1398 28PS ",66740," "," ",10293
2013/03/11,"{CrSale} 2217 47ps ",77475," "," ",13764
2013/03/29,"{CHQ} BILL "," ",100000,"Hand ",11704
2013/03/29,"{CHQ} BILL "," ",150000,"Hand ",11705
2013/03/29,"{CHQ} BILL "," ",150000,"Hand ",11706
2013/03/29,"{CrSale} 2318 64PS ",202960," "," ",11758
2013/03/30,"{CrSale} 2319 118ps ",132720," "," ",11761
2013/03/30,"{CrSalRtn} 2330 22ps "," ",56870," ",11797
2013/04/19,"Cr CASH  "," ",25000," ",12799
2013/04/24,"{CHQ} BILL "," ",100000,"Hand ",12873
2013/04/24,"{CHQ} BILL "," ",200000,"Hand ",12874
2013/04/24,"{CHQ} BILL "," ",224000,"Hand ",12875
2013/05/30,"{CrSale} 2660 38PS ",119340," "," ",14088
2013/05/30,"{CrSale} 2661 8PS ",30270," "," ",14091
2013/06/06,"{CrSale} 2667 25ps ",80675," "," ",14275
2013/06/06,"{CrSale} 2668 7ps ",21725," "," ",14278
2013/06/06,"{CrSale} 2669 39ps ",56945," "," ",14281
2013/06/06,"{CrSale} 2670 3ps ",4825," "," ",14284
2013/06/11,"{CrSale} 2676 6PS ",12510," "," ",14435
2013/07/20,"{CHQ} BILL "," ",150000,"Hand ",16025
2013/07/24,"{CrSalRtn} 3329 12ps "," ",15060," ",16190
2013/08/17,"{CrSale} 3023 104ps ",188510," "," ",17461
2013/09/17,"{CHQ} BILL "," ",100000,"Hand ",18161
2013/09/17,"{CHQ} BILL "," ",100000,"Hand ",18162
2013/09/28,"{CrSale} 3086 10 ps 3 ps by and ",11910," "," ",18772
2013/11/19,"{CHQ} BILL "," ",105700,"Hand ",20118
2015/07/08,"Cr GOODS TO ROYAL FASHION (SF_)  "," ",61770," ",40642
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1096 ","A/C Name : ANBANS TEX CHUNNAHAM,   CHUNNAHAM  JAFFNA  0212240011 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
